iter	Passed	Remaining
0	7	7187
1	12	6359
2	18	6093
3	21	5379
4	24	4923
5	29	4829
6	34	4842
7	38	4825
8	46	5073
9	49	4870
10	55	4973
11	57	4767
12	64	4864
13	70	4982
14	75	4967
15	81	5004
16	86	5012
17	92	5034
18	97	5042
19	103	5056
20	107	5032
21	113	5035
22	116	4965
23	122	4983
24	126	4923
25	129	4845
26	133	4794
27	136	4747
28	142	4762
29	144	4685
30	150	4698
31	153	4639
32	158	4656
33	164	4672
34	169	4683
35	175	4692
36	178	4655
37	184	4674
38	190	4683
39	195	4695
40	201	4704
41	206	4711
42	212	4719
43	217	4725
44	223	4735
45	228	4744
46	234	4747
47	239	4748
48	245	4768
49	251	4772
50	256	4774
51	262	4778
52	267	4778
53	273	4785
54	276	4747
55	281	4749
56	284	4711
57	290	4722
58	296	4722
59	299	4694
60	305	4701
61	310	4700
62	316	4704
63	321	4703
64	325	4689
65	331	4690
66	334	4658
67	339	4658
68	345	4659
69	350	4661
70	356	4660
71	361	4661
72	364	4625
73	369	4624
74	374	4624
75	381	4636
76	386	4636
77	389	4604
78	395	4614
79	401	4615
80	406	4615
81	411	4606
82	415	4588
83	418	4559
84	420	4529
85	425	4521
86	428	4498
87	434	4498
88	438	4488
89	442	4470
90	444	4442
91	450	4443
92	454	4430
93	459	4432
94	465	4433
95	471	4439
96	477	4441
97	482	4444
98	488	4443
99	491	4422
100	497	4424
101	502	4425
102	508	4426
103	513	4420
104	516	4401
105	518	4377
106	522	4361
107	528	4363
108	534	4365
109	539	4364
110	545	4369
111	551	4368
112	555	4359
113	560	4359
114	566	4360
115	569	4342
116	575	4343
117	581	4343
118	586	4343
119	592	4343
120	597	4343
121	601	4330
122	608	4337
123	613	4336
124	619	4337
125	623	4322
126	626	4304
127	628	4283
128	633	4276
129	637	4267
130	642	4264
131	648	4265
132	654	4264
133	659	4261
134	665	4266
135	671	4266
136	678	4273
137	685	4280
138	691	4284
139	698	4291
140	704	4294
141	708	4280
142	715	4290
143	722	4293
144	729	4300
145	735	4301
146	741	4304
147	747	4304
148	753	4302
149	757	4290
150	762	4287
151	768	4285
152	773	4282
153	779	4279
154	784	4277
155	790	4275
156	795	4271
157	801	4269
158	806	4266
159	812	4263
160	817	4261
161	823	4257
162	826	4245
163	832	4243
164	837	4240
165	841	4228
166	847	4225
167	853	4226
168	859	4227
169	865	4223
170	870	4220
171	876	4217
172	881	4213
173	886	4209
174	892	4206
175	897	4203
176	903	4199
177	909	4198
178	914	4195
179	920	4191
180	925	4188
181	930	4184
182	937	4187
183	944	4190
184	950	4187
185	955	4183
186	960	4174
187	966	4173
188	971	4170
189	975	4159
190	980	4154
191	986	4151
192	990	4139
193	995	4136
194	1002	4137
195	1007	4134
196	1013	4130
197	1018	4127
198	1024	4124
199	1030	4120
200	1035	4116
201	1038	4102
202	1044	4099
203	1049	4095
204	1055	4092
205	1060	4088
206	1066	4084
207	1071	4079
208	1076	4075
209	1082	4071
210	1088	4069
211	1093	4065
212	1099	4062
213	1104	4058
214	1110	4055
215	1116	4053
216	1124	4059
217	1130	4057
218	1137	4057
219	1143	4054
220	1147	4045
221	1153	4043
222	1163	4052
223	1168	4047
224	1173	4043
225	1176	4030
226	1182	4027
227	1188	4023
228	1193	4018
229	1199	4014
230	1204	4010
231	1210	4005
232	1215	4001
233	1221	3998
234	1226	3994
235	1232	3989
236	1237	3985
237	1243	3980
238	1248	3976
239	1254	3971
240	1259	3966
241	1265	3962
242	1270	3957
243	1276	3953
244	1279	3942
245	1284	3938
246	1290	3934
247	1296	3929
248	1301	3925
249	1306	3920
250	1312	3916
251	1316	3906
252	1321	3901
253	1328	3900
254	1333	3896
255	1339	3892
256	1344	3887
257	1350	3882
258	1355	3878
259	1361	3875
260	1367	3871
261	1373	3868
262	1378	3864
263	1384	3859
264	1390	3855
265	1395	3850
266	1401	3846
267	1406	3841
268	1411	3836
269	1417	3831
270	1422	3827
271	1428	3822
272	1433	3817
273	1439	3813
274	1444	3808
275	1450	3804
