iter	Logloss
0	0.660555201
1	0.6341111229
2	0.6095945838
3	0.5888722509
4	0.5690881028
5	0.5529532589
6	0.5378330098
7	0.5241509816
8	0.5114040896
9	0.5002971677
10	0.491440307
11	0.4821037979
12	0.4735312992
13	0.467139596
14	0.4597256444
15	0.4537799077
16	0.44750988
17	0.4432709906
18	0.4375057409
19	0.4333283931
20	0.4288148566
21	0.4244280362
22	0.4212223176
23	0.4180653348
24	0.4155938148
25	0.4143005503
26	0.4117112437
27	0.4090237109
28	0.4081643958
29	0.4059371114
30	0.404187455
31	0.4022420913
32	0.4009427075
33	0.3992159362
34	0.3975646589
35	0.3954964022
36	0.3941239902
37	0.3928054166
38	0.3913775957
39	0.3898696547
40	0.3887225898
41	0.3875809724
42	0.3859690764
43	0.385762138
44	0.384270081
45	0.3830623512
46	0.3817141453
47	0.3810046446
48	0.3798705407
49	0.3789406603
50	0.3782631048
51	0.3770351474
52	0.3763302752
53	0.3753890212
54	0.3748060464
55	0.3743414318
56	0.3732118354
57	0.3721493102
58	0.3715595755
59	0.3709217825
60	0.3702004291
61	0.3694516735
62	0.3680352169
63	0.3668815127
64	0.3663523481
65	0.3656814965
66	0.3652763707
67	0.3647461684
68	0.3638831934
69	0.3630847403
70	0.36259097
71	0.3620089698
72	0.3612314669
73	0.3608452139
74	0.3599284486
75	0.359418407
76	0.3589395961
77	0.3584392883
78	0.3579536744
79	0.357213963
80	0.3565404031
81	0.3558730615
82	0.3549407871
83	0.3546558222
84	0.3537299614
85	0.352900827
86	0.3525197728
87	0.3521247748
88	0.3517206202
89	0.3514252943
90	0.3510452671
91	0.3498937202
92	0.3494505245
93	0.3486952568
94	0.348302811
95	0.3480727637
96	0.3479573944
97	0.3478690299
98	0.3472294278
99	0.347139982
