iter	Passed	Remaining
0	2	253
1	3	184
2	4	160
3	6	149
4	7	138
5	8	133
6	9	128
7	10	125
8	12	121
9	13	118
10	14	117
11	15	115
12	16	113
13	18	111
14	19	109
15	20	107
16	22	107
17	23	105
18	24	105
19	26	104
20	27	102
21	28	101
22	29	100
23	31	98
24	32	96
25	32	93
26	33	91
27	35	90
28	35	87
29	36	86
30	38	85
31	40	85
32	41	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	76
38	48	75
39	49	74
40	50	73
41	52	72
42	53	71
43	54	69
44	55	68
45	57	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	71	51
58	72	50
59	74	49
60	75	48
61	76	47
62	78	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	87	37
70	88	36
71	89	34
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	110	15
88	111	13
89	112	12
90	113	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
